,london_p_#,similarity_score,zwickau,london
10,10,1.0000000000000002,secunda est siria celes que incipit a fluuio eufrate et terminatur in fluuio ualame qui fluit sub castro margath et cadit in mare magnum in uilla ualanie que est sedes episcopalis metropolitanum habens archiepiscopum appanensem distans per 1 leucam a castro supradicto in hac celes siria est ciuitas antiochia cum urbibus suis suffraganeis in quibus sunt archiepiscopi eidem sedi subiecti numero 153 secundum numerum magnorum pistium quos traxit petrus in terram sicut dicitur in iohanne inter has tamen sunt principales ciuitates laodocia syrie et appnana preter alias que habent sedes episcopales quarum numerus non est mihi notus,secunda est syria celes que incipit a flumine eufrate et terminatur in riuo ualanie qui fluit sub castro margad et cadit in mare magnum in uilla ualanie in qua est sedes episcopalis per 1 leucam a predicto castro distante in hac celes syria est ciuitas antyochia cum urbibus suis suffraganeis scilicet laodicia apamia et aliis multis
11,11,1.0000000000000002,tercia est syria fenicis que incipit a predicto a fluuio ualame ab aquilone et extenditur uersus austrum usque ad petram incisam siue districtum sub monte carmali qui locus hodie castrum peregrinorum dicitur et est milicie templi in ista sunt ciuitates multe scilicet margath anteradum arachos tripolis bothum biblium bericus sydon tyrus acchon et capharnaum que antiquitus dora siue doz iuxta mare dicebatur syria ista syria phenicis a phenice filio agenoris fratre cachmi sic est dicta qui tyrum instaurauit et huius terre caput esse constituit et enim suo nomine appellauit,tertia est syria phenicis que incipit a predicto fluuio ualamie ab aquilone et extenditur uersus austrum usque ad petram incisam siue districtum sub monte carmelo qui locus hodie castrum peregrinorum dicitur et est milicie templum in ista sunt ciuitates multe scilicet margad anteradum tripolis bericum sydon tyrus accon et capharnaum et appellatur syria phenicis a phenice filio agenoris fratre cathmi qui tyrum instaurauit et metropolim huius terre constituit et terram suo nomine appellauit
12,12,0.9999999999999999,quarta est syria damasci in qua est damascus ciuitas metropolis hec predicte syrie phenicis ab origente coniungitur dicitur tamen ista eciam syria lybanica quia lybanus mons in ea preclarus habetur et habet ciuitates et terras plures habitant enim in ista syria damasci maronite in monte lybano item quedam gentes que dicuntur sine confessione quia nunquam confitentur licet sint christiani propter casum quoddam et stragem 25 000 hominum que propter prodicos unius confessionis noscitur accidisse item habitant in ea qui dicuntur de lege occulta quam nullus extraneorum umquam potuit inuestigare sed uiri tanti eam sciunt et preter moriens eam tantum reuelat filio se mori item habitant in ea ibidem quidam sarraceni qui dicuntur uanini feroces homines supra modum et infesti modis omnibus christianis item habitant circa krach castrum inter montem libani kamelani in montanis quidam sarraceni qui dicuntur assisini quorum terra dicitur assym sed uulgariter semoris de montanis isti instruuntur esse obedientes usque ad mortem et de mandato superioris quemlibet quantumcumque etiam magnum interficiunt et in hoc se paradisum mereri credunt etiam si antequam obedientiam impleant occidantur ista syria damasci siue libanica in eufrate flumine ab oriente terminatur ab ista ciuitate damasco distat ciuitas illa gloriosa que nunc hallapia communiter appellatur per 2 dietas a flumine uero eufrate per 1 tamen dietam distat et est eadem quam salomon dicitur in deserto edificasse et palmiram appellasse iosephus dicit eam chadmar appellari quod etiam idem est quod palmira,quarta est syria damasci in qua est damascus ciuitas metropolis hec predicte tercie syrie phenicis ab oriente coniungitur dicitur tamen ista quarta syria etiam syria lybanica quia mons lybani in ea preclarus habetur
13,13,1.0,post istam syriam damasci et syriam phenicis procedendo contra austrum occurrit palestina que philistim proprie nuncupatur unde nota quod 3 sunt palestine que tamen omnes sunt similiter syrie maioris partes prima palestina est cuius metropolis est iherusalem cum omnibus montanis suis usque ad iordanem et mare mortuum secundum limites omnes quos regnum iuda siue iherusalem continebat in hac palestina erant episcopi plures et archiepiscopi et ciuitates munite ualde inicium autem huius palestine erat ab oriente incipiens a mari mortuo secus iericho finis a mari magno iuxta ioppem ab aquilone bethel ab austro uero flumine egipti ubi etiam regnum iuda habetur,post istam quartam scilicet syriam phenicis sequitur palestina que philistiim proprie nuncupatur unde nota quod tres sunt palestine que tamen omnes sunt syrie magne partes prima palestina est cuius metropolis est ierusalem cum omnibus montanis suis usque ad mare mortuum et usque ad desertum et cades barne
14,14,1.0,secunda palestina est cuius metropolis est cesarea palestine siue cesarea martania cum tota terra <palasti> philistim incipiens a predicta petra incisa siue castro peregrinorum et extendens se usque gazam et gerazam in hac similiter sunt ciuitates que in regno iherusalem continebantur,secunda cuius metropolis est cesarea palestine siue cesarea maritima cum tota terra philistiim incipiens a predicta petra incisa siue castro peregrinorum et se extendens usque gazam contra austrum
15,15,1.0,tercia est cuius metropolis est bethsan sita sub monte gelboe iuxta iordanem et continebat regnum samarie a bethel incipiens contra austrum et terminabatur iuxta stagnum ionesar iuxta betsaidam cum tota galilea ista dicebatur palestina quia philistini possederunt eam post mortem saulis sed dicitur primus regum ultimus quod uidentes filii israel qui erant trans uallem quod mortuus esset saul et filii eius reliquerunt ciuitates suas et fugierunt et uenierunt philistim et habitauerunt in ea usque in presentem diem et ob hanc causam appellata est terra illa palestina cum tamen in rei ueritate esset galilea siue campus magnus esdrelon iste tres palestine omnes sunt circa iordanem ad occidentalem eius plagam,tertia est cuius metropolis est bethsan sita sub monte gelboe iuxta iordanem hec quondam scitopolis dicebatur ista palestina dicitur proprie galilea siue campus magnus esdrelon
16,16,0.9999999999999999,nota etiam quod ultra iordanem est triplex arabia que tamen sunt omnes syrie magne partes sicut et palestine prima arabia est cuius metropolis est bostron que nunc bostroch dicitur olim tamen bozra dicebatur hec includit traconitidem regionem que est eius pars occidentalis et damas que est ei aquilonalis quam ob causam syria damasci aliquociens arabia uocatur unde et arocha rex arabie dicitur qui in rei ueritate fuit rex damasci,sunt etiam tres <aril> arabie similiter maioris syrie partes prima est cuius metropolis est bostron que nunc busereth dicitur olim tamen bosrha dicebatur huic coniungitur traconitis regio et ythurea ab occidente damascus uero fere ab aquilone quam ob causam syria damasci aliquociens arabia uocatur unde aretha regio arabie dicitur qui in rei ueritate erat rex damasci
17,17,1.0,secunda est cuius metropolis est rabach ciuitas que nunc philadelphia dicitur super torrentem arnon sita ista arabia erat terra filiorum amon et includebat regnum <os> og regis basan et ezebon cum tota terra seon regis ezebon que uniuersa cessit in partes duarum tribuum et dimidie transiordanem et montem galaad et bathaneam et coniungitur prime arabie ex parte australi,secunda cuius metropolis est petra ciuitas olim rabach dicta deinde areopolis ipsa que in libro numeri uocatur ar in oriente arnen sita ista arabia erat terra filiorum amon licet ciuitas ar fuerit de moab item fuit de regno seon regis esebon et includebat regnum og regis basan et montem galaad et coniungitur prime arabie a parte australi
18,18,1.0000000000000002,tercia est cuius metropolis est petra ciuitas sita iuxta montem regalem qui nunc saracenite krach dicitur olim tamen petra deserti dicebatur supra mare mortuum et includit terram moab et ydumeam siue montem seyr et totam terram circa mare mortuum usque ad cades barne et usque basion gaboe et aquas contradictionis uersus mare rubrum per latissimas solitudines montis synai contra occidentem et fluuium eufraten contra orientem hec est arabia magna in qua est mecha ciuitas locus sepulcri detestabilis machmeti iste arabie omnes sunt ultra iordanem in origentali eius plaga,tertia est arabia cuius metropolis est mons regalis qui nunc krach dicitur olim tamen petra deserti dicebatur sita super mare mortuum et continet sub se terram moab que proprie syria sobal dicitur et totam ydumeam siue montem seyr et totam terram circa mare mortuum usque ad cades barne et asasonthamar et aquas contradictionis uersus mare rubrum per latissimas solitudines usque ad flumen eufratem hec est arabia magna in qua est melcha ciuitas sepultura detestabilis machumeti
19,19,1.0,hucusque de situ terrarum terre sancte adiacentium dicta sufficiant que pro parte de dictis uenerabilis patris domini iacobi de uitriaco licet ego oculis meis fere omnia uiderim finit excerpta ceterum ad particularem rem descriptionem ipsius terre que in sortem 12 tribuum cecidit stilum uertamus occidentalem eius terminum ponentes mare magnum et per litus ipsius maris procedentes uersus sydonem usque bericum quem locum licet filii israel non possederunt tamen in distributione tribuum usque ad sydonem magnam fuit pars illa tribui asser assignata,hucusque de situ terrarum terre sancte adiacentium dicta sufficient que pro maiori parte de dictis uenerabilis patris domini iacobi de uitriaco sancte romane ecclesie legati in terra sancta quamquam ego oculis meis plurima de hiis uiderim sunt assumpta ceterum ad particularem descriptionem ipsius terre que in possessionem decem tribuum cessit stilum uertamus
20,21,1.0,de diuisione quarte septentrionalis primum igitur descriptionis inicium sumitur a quarta septentrionali que per rectam lineam protenditur ab achon usque ad tyrum et non alias ciuitates que secuntur de quibus loco suo dicetur primum igitur sciendum quod ciuitas achonensis nunquam fuit terra sancta nec a filiis israel possessa licet in distributione terre tribui asser fuerit assignata quia tribus illa nunquam possedit eam est autem in prouincia phenicea sita habens ab austro carmelum montem ad 4 leucas et ciuitatem cayphan ad pedes montis eiusdem ultra torrentem cyson ubi helias sacerdotes baal occidit sicut dicitur in libro regis,primum igitur descriptionis initium sumitur a ciuitate acconensi per directam lineam procedendo uersus tyrum et inde ad alias ciuitates sequentes de quibus suo loco dicetur sciendum tamen quod ciuitas accon numquam fuit de terra sancta nec a filiis israel possessa licet in ditributione terre tribui asser fuerit assignata quia asserite numquam possiderunt eam est autem in prouintia phenicis sita habens ab austro carmelum montem ad 4 leucas et ciuitatem caypham ad pedem montis eiusdem ultra torrentem cyson ubi helyas propheta sacerdotes baal interfecit
21,22,1.0,de phenicea regione phenicea uero regio adhuc ultra extenditur contra austrum ad 3 leucas iuxta castrum peregrinorum quod dicitur petra incisa qui locus est limes eius et ubi incipit palestina et dyocesis palestine et terminatur diocesis tyronensis que est metropolis phenicis contra aquilonem uero extenditur phenicea per plures dyetas in littore maris usque ad laodiciam syrie iuxta anthiochiam et sunt in ea ciuitates multe nusquam autem sicud mihi uidetur per tantam longitudinem se extendit in latitudine ultra 5 leucas sed est montibus sibi ab oriente inminentibus ab omnibus prouinciis circumadiacentibus separata est autem prima eius ciuitas cayphas sicud dictum est sub camelo constituta habundans ficetis et oliuetis et aliis commoditatibus multis inde sunt 4 leuce in achon contra aquilonem,phenicia uero regio siue syria phenicis adhuc extenditur ultra contra austrum ad 3 leucas usque ad petram incysam que castrum peregrinorum dicitur qui locus terminus est phenicis contra austrum
22,23,1.0,de akon ciuitate akchon ciuitas est munita ualde muris antemuralibus turribus et fossatis triangulam habens formam ut clypeus cuius 2 parte cinguntur mari magno tercia uero pars campum respicit qui ipsam circumdat habens 3 leucis latitudinis et plus in aliquibus partibus fertilis tam in agris quam in pratis et in ortis in quibus diuersi generis fructus crescunt est autem munita ualde milicia et castris fortissimis scilicet hospitalis templi et artis ciuitatis que ad regem pertinent,accon autem ciuitas munitam ualde muris antemuralibus turribus et fossatis et barbicanis fortissimis triangulam habens formam ut clypeus cuius due partes cinguntur mari magno tertia pars campum respicit qui ipsam circumdat habens leucas 2 latitudinis et plus in partibus aliquibus uel etiam minus fertilis ualde tam in agris quam in pascuis et uineis et ortis in quibus diuersi generis fructus crescunt est etiam munita multa militia hospitalis templi et domus teutonice et castris eorum et arcis ciuitatis que ad regem pertinent habens portum bonum et capacem ab austro ciuitatis pro nauibus collocandis
23,24,1.0,de casale de achon procedendo directe contra aquilonem ad 4 leucas est casale lamberti inde ad 3 leucas est castrum scandalion ultra montem quem allexander obsidens tyrum dicitur edificasse satis amenum fontibus et flumibus et ortis et oliuetis et pingui gleba in littore maris situm,inde contra aquilonem ad 4 leucas est casale lamperti iuxta mare uineis similiter et yardinis et aquis fluuialibus habundans sub monte saron constitutum inde transacto monte saron ad 4 leucas est castrum sandalion quod alexander obsidens tyrum dicitur construxisse sed baldwinus rex ierusalem illud denuo instaurauit et quibusdam nobilibus qui inde cognominantur tradidit possidendum habundat autem pratis pascuis ficetis oliuetis uineis fluminibus et iardinis
24,25,1.0,puteus aquarum uiuentium inde ad 3 leucas iuxta uiam ad dextram quantum arcus potest est puteus ille admirabilis aquarum uiuencium de quo dicitur in canticis quamuis autem singulariter dicatur puteus sunt tamen 4 eiusdem structure et dispositionis non tamen eiusdem quantitatis unus enim qui precipuus est habet 40 cubitos longitudinis et latitudinis similiter et est quadratus alii 3 circa 55 omnibus muris fortissimis de lapidibus durissimis ad altitudinem haste et dimidie uel plus circumdati in quibus ita colligitur aqua et exaltatur quod ad omnem partem aqua defluit ultra muros eosdem et deducitur inde per aqueducductus et tracones per totam planiciem tyri et irrigantur de aqua ista giardini et orti et calamelle que in tanta quantitate crescunt in partibus illis quod dominus tyri aliquociens ut dicitur recipit inde in reditibus 40 000 bisanciorum distant autem fontes isti a mari magno modico amplius quam arcus iacere posset et in isto spacio modico inpellunt 4 rotas molendini satis magnas et statim in mare fluunt multas commoditates prestant incolis aque iste de isto fonte,inde modico amplius quam per leucam est puteus ille admirabilis aquarum uiuentium iuxta uiam euntibus tyrum quantum iacere potest arcus cuius aque sicut dicitur in canticis fluunt impetu de lybano quamuis autem singulariter dicatur puteus sunt tamen 4 eiusdem dispositionis sed disparis quantitatis unus enim qui precipuus est habet 40 cubitos longitudinis et latitudinis ut ego per me mensuraui et est quadratus et alii tres circa 24 omnes muris fortissimis de lapidibus durissimis de opere insolubili ad altitudinem haste uel amplius circumdati in quibus ita colligitur aqua et exaltatur quod ad omnem partem aqua defluit ultra muros sunt tamen nichilominus inde aqueductus facti per riuos inde descendentes tante profunditatis et latitudinis quanta est statura unius hominis quod per memetipsum expertus sum mittens in canalem per quem fluit aqua deducuntur autem iste aque per totam planiciem tyri et rigantur inde iardini orti uinee calamelle que in magna quantitate crescunt ibidem de quibus dominus tyri recipit reditus ualde magnos distant autem fontes isti a mari magno modico amplius quam iacere possit arcus et in isto modico spacio impellunt 6 rotas molendini satis magnas et statim in mari absorbentur fonti isti ad litteram uidetur conuenire illud ecclesia 24 rigabo ortum plantationum et inebriabo partus mei fructum et ecce factus est mihi trames habundans et fluuius meus appropinquauit ad mare multas commoditates conferunt incolis iste aque
