,zwickau_s_#,similarity_score,london,zwickau
10,9,0.6335501213168415,quis enim enarrare sufficiat quot monachi quot moniales de georgia de armenia maiore et minore caldea syria media persya india ethyopia nubia nabenia maromea iacobite nestoriani greci syri et aliarum nacionum nunc turmatim centeni ducenteni plus et minus discurrentes per loca singula in spiritu uehementi osculantur terram uenerantur loca in quibus dulcem ihesum sedisse stetisse uel fecisse quimpiam operis audierunt nunc tundunt pectus nunc fletus nunc gemitus nunc suspiria emittentes gestu corporis et deuotionis quam foris ostendunt et absque dubio intus habent,quis enim enarrare sufficiat quod monachi moniales de georgia armenia minore et maiore caldea syria medea persya nubia iabenia ethiopia india maronite iacobite nestoriarii greci syri egipcii et aliarum nationum uiri et mulieres nunc turmatim nunc centeni nunc ducentem plus et et minus discurrentes per singula loca in spiritu uehementi osculantur terram uenerantur loca ubi dulcem ihesum sedisse stetisse uel fecisse quippiam operis audierunt
11,11,0.9051009540243979,in lacrimas prouocant plerumque eciam sarracenos,in lacrimas prouocant plerumque etiam sarracenos
12,12,0.8060052087740515,eia domine deus uideo secundum ueteres hystorias abraham terram domumque patris et cognationem dereliquentem ad terram hanc festinantem inter bethel et hay tabernaculum figentem in geraris bersabee et ebron commorantem,eya domine deus uideo secundum ueteres historias abraham domum patris congnationem et terram suam derelinquentem et ad terram hanc festinantem inter bethel et hay tabernaculum figentem in geraris bersabee et ebron commorantem
13,13,0.7640779613011739,uideo ezechielem deserentem flumina babylonis et ut ueniat in ierusalem inter celum et terram capillo capitis portatum illuc transuolantem,uideo ezechielem deferentem flumina babilonis et ut ueniat in iherusalem inter celum et terram capillo capitis portatum uenientem
14,14,0.9712156110578961,quid dicam de uirgine gloriosa que postquam ad eam angelica facta est promissio licet sciret uterum suum tabernaculum dei factum non est contenta spaciosis et speciosis campestribus galilee sed statim cum festinatione montana iudee conscendit uolens locis sanctuaribus propinquare,quid dicam de uirgine gloriosa que postquam ad eam angelica facta est promissio licet sciret uterum suum tabernaculum dei factum non est contenta spaciosis et speciosis campestribus galilee sed statim cum festinatione montana iudee conscendit uolens locis sanctioribus propinquare
15,15,0.8875902198214575,quid de patriarcha lacob iosep et fratribus eius dicam qui quia uiui in terra ista esse non poterant elegerunt mortui sepeliri,quid de patriarcha iacob ioseph et fratribus eius dicam qui quia uiui in terra ista esse non poterant elegerunt mortui sepeliri
16,16,0.6976294598887032,quid plura ingemiscere possumus nostri temporis populi christiani qui tot et tanta tantorum habentes exempla tardi sumus de manibus inimicorum eruere terram quam consecrauit suo sanguine ihesus christus et quam cotidie resonat ecclesia uniuersa,quid plura ingemiscere possumus nostri temporis tarditatem et negligentiam populli christiani qui tot et tantorum habentes exempla tardi sunt de manibus inimicorum eruere terram quam sacrauit suo sanguine ihesu christus et quam tota die et nocte resonant eclesie uniuerse
17,17,0.8398194328396514,quem enim hora diei uel noctis per totum anni circulum in qua non recolit cantando legendo psallendo predicando et meditando omnis deuotus christianus que facta sunt uel scripta in hac terra et ciuitatibus et locis eius,que enim hora diei uel noctis per totum annum in qua non recolat cantando legendo psallando predicando uel meditando omnis deuotus christianus que facta sunt uel scripta in hac terra et ciuitatibus et locis eius
18,18,0.6481872724998052,uerum ego burchardus ordinis predicatorum uidens quosdam affici desiderio ea saltem aliqualiter ymaginari que non possunt presentialiter intueri et cupiens eorum desiderio satisfacere quantum possum terram ipsam quam pedibus meis pluries pertransiui quantum potui consideraui et notaui diligenter et studiose descripsi hec lectorem scire uolens quod nichil in hac descriptione posui nisi quod uel presencialiter in locis ipsis existens uidi uel stans in montibus aliquibus uel locis aliis oportunis ubi accessum habere non potui a surianis uel sarracenis aut aliis terre ipsius habitatoribus diligentissime quod querebam interrogans annotaui,uerum ego frater burchardus ordinis fratrum predicatorum uidens quosdam affici desiderio ea saltem aliqualiter ymaginari que non possunt presentialiter intueri et cupiens eorum desiderio satisfacere quantum possum ipsam terram quam pedibus meis pluries pertransiui et per 10 annos quibus frater prouincie illius fui quantum potui consideraui diligenter et notaui et studiose descripsi
19,21,0.32381337844637653,totam enim terram ipsam a dan usque bersabee a mari mortuo usque ad mare magnum qui sunt eius termini aut pedibus ut dictum est perambulaui uel oculis ubi accessum habere non potui diligenter consideraui,ego terram ipsam totam a dan usque bersabee a mari mortuo et iordane usque ad mare occidentale qui sunt eius termini diligentissime perlustraui cum societate bona pluries habens securitatem omnimodam a soldano non solum in ipsa terra sancta sed et per syriam totam et egiptum uniuersa et plures alias regiones
20,22,0.4601130614915403,aduertens autem quomodo possem hec utiliter describere ita ut possent a legentibus ymaginatione facili conprehendi cogitaui centrum aliquod in ea ponere et circa illud totam terram modo debito ordinare et ad hoc elegi ciuitatem acconen[sem] tamquam plus aliis nominatam,aduertens autem quomodo possem hec utiliter describere ut possent etiam ab aliis faciliter con<gia>mprehendi cogitaui centrum aliquod in ipsa terra ponere et circa illud totam terram modo debito ordinare et ad hoc elegi ciuitatem aconensem tamquam aliis plus notam que tamen non est in medio terre ipsius sed in occidentali eius fine sita et ab ipsa protraxi 4 leucas 4 mundi partibus respondentes et quamlibet quartam diuisi in 3 ut responderent 12 diuisiones iste 12 uentis celi et in singulis diuisionibus posui ciuitates et loca et montes et castra in scripturis magis nota ut singulorum locorum situs et dispositio posset de facili reperiri ad quam mundi partem esset sita
21,22,0.19798917509152142,que tamen non est in medio sed in occidentali eius fine supra mare sita,aduertens autem quomodo possem hec utiliter describere ut possent etiam ab aliis faciliter con<gia>mprehendi cogitaui centrum aliquod in ipsa terra ponere et circa illud totam terram modo debito ordinare et ad hoc elegi ciuitatem aconensem tamquam aliis plus notam que tamen non est in medio terre ipsius sed in occidentali eius fine sita et ab ipsa protraxi 4 leucas 4 mundi partibus respondentes et quamlibet quartam diuisi in 3 ut responderent 12 diuisiones iste 12 uentis celi et in singulis diuisionibus posui ciuitates et loca et montes et castra in scripturis magis nota ut singulorum locorum situs et dispositio posset de facili reperiri ad quam mundi partem esset sita
22,22,0.3591183251238049,et ab ipsa protraxi quatuor lineas quatuor mundi partibus respondents et quamlibet quartam diuisi in tria ut responderent duodecim diuisiones iste 12 uentis celi,aduertens autem quomodo possem hec utiliter describere ut possent etiam ab aliis faciliter con<gia>mprehendi cogitaui centrum aliquod in ipsa terra ponere et circa illud totam terram modo debito ordinare et ad hoc elegi ciuitatem aconensem tamquam aliis plus notam que tamen non est in medio terre ipsius sed in occidentali eius fine sita et ab ipsa protraxi 4 leucas 4 mundi partibus respondentes et quamlibet quartam diuisi in 3 ut responderent 12 diuisiones iste 12 uentis celi et in singulis diuisionibus posui ciuitates et loca et montes et castra in scripturis magis nota ut singulorum locorum situs et dispositio posset de facili reperiri ad quam mundi partem esset sita
23,22,0.4778830206860627,et in singulis diuisionibus posui ciuitates et loca in scripturis magis nota ut singulorum locorum situs et dispositio posset de facili reperiri ad quam partem mundi esset collocata,aduertens autem quomodo possem hec utiliter describere ut possent etiam ab aliis faciliter con<gia>mprehendi cogitaui centrum aliquod in ipsa terra ponere et circa illud totam terram modo debito ordinare et ad hoc elegi ciuitatem aconensem tamquam aliis plus notam que tamen non est in medio terre ipsius sed in occidentali eius fine sita et ab ipsa protraxi 4 leucas 4 mundi partibus respondentes et quamlibet quartam diuisi in 3 ut responderent 12 diuisiones iste 12 uentis celi et in singulis diuisionibus posui ciuitates et loca et montes et castra in scripturis magis nota ut singulorum locorum situs et dispositio posset de facili reperiri ad quam mundi partem esset sita
24,23,0.8325049459010128,descripcio terre sancte sciendum autem est in principio quod terra ista quam sanctam dicimus que cecidit in sortem duodecim tribuum israel pro parte aliqua dicebatur regnum iudee que erat duarum tribuum scilicet iude et beniamin pro parte altera dicebatur regnum samarie ciuitatis scilicet que nunc sebaste dicitur et erat caput 10 tribuum reliquarum que israel dicebantur,sciendum autem in principio quod terra ista quam sanctam dicimus que cecidit in sortem 12 tribuum israel pro parte aliqua dicebatur regnum iudee quia erat 2 tribuum scilicet iude et beniamin pro parte altera dicebatur regnum samarie scilicet ciuitatis illius que nunc sebaste dicitur et erat caput et metropolis 10 tribuum reliquarum que israhel dicebantur
25,24,0.35079186585040917,utrumque tamen regnum istud cum tota terra phylistiim dicebatur palestina,utrumque tamen regnum cum tota terra philistim dicebatur palestina que erat pars sirie sicut saxonia francia uel thuringia partes sunt teuthonie et lonbardia et tuscia et campania partes sunt ytalie
26,24,0.54342604839044,que erat pars syrie sicut saxonia uel francia partes sunt teutonie et lambardia et tuscia partes ytalie,utrumque tamen regnum cum tota terra philistim dicebatur palestina que erat pars sirie sicut saxonia francia uel thuringia partes sunt teuthonie et lonbardia et tuscia et campania partes sunt ytalie
27,25,0.8086124230201698,ad hoc autem plenius intelligendum nota quod plures sunt syrie diuersis scilicet nominibus nuncupate,ad hec autem plenius intelligendum nota quod plures sunt syrie scilicet diuersis nominibus nuncupate
28,26,0.31204718673953935,tota enim terra que est a tygride fluuio usque ad egyptum generaliter syria nuncupatur,tota enim terra que est a tigri fluuio qui de monte ararath oritur et infimi rubris maris qui persicus dicitur influit rubrum mare usque ad nylum fluuium egipti generaliter syria appellatur
29,27,0.5118577852603128,pars tamen eius prima que est inter fluuios eufraten et tygrum et protenditur per longum ab aquilone in austrum hoc est a monte tauro usque ad mare rubrum appellatur mesopotamia syrie quasi media inter aquas et habet gentes multas ut partos medos,pars tamen eius prima que est inter tygrim fluuium et eufratem protenditur per longum ab aquilone in austrum hoc est a monte ararath qui est pars montis tauri de cuius radice uterque fluuius oritur usque ad mare rubrum mesopotammia syrie appellatur quasi media inter aquas et habet gentes multas ut parthos medos et persas quibus ab austro fere adiungitur et occidentte coniungitur caldea in qua est babilonia magna et illi indie ab austro fere adiungitur arabia usque ad mare rubrum quod in locis illis suis arabicus appellatur
30,27,0.4373083713820471,quibus ab austro coniungitur caldea in qua est babilonia et illi ytidem ab austro adiacet arabia usque ad mare rubrum quod in locis illis sinus arabicus dicitur,pars tamen eius prima que est inter tygrim fluuium et eufratem protenditur per longum ab aquilone in austrum hoc est a monte ararath qui est pars montis tauri de cuius radice uterque fluuius oritur usque ad mare rubrum mesopotammia syrie appellatur quasi media inter aquas et habet gentes multas ut parthos medos et persas quibus ab austro fere adiungitur et occidentte coniungitur caldea in qua est babilonia magna et illi indie ab austro fere adiungitur arabia usque ad mare rubrum quod in locis illis suis arabicus appellatur
31,28,0.7072458660052249,prima tamen pars totius huius mesopotamie que aquilonem respicit in qua est ciuitas edissa que antiquitus rages nunc rase dicitur specialiter mesopothamia syrie nuncupatur et hec est syria prima,prima enim pars huius mesopothamie que aquilonem respicit in qua est ciuitas edissa que antiquitus rages nunc uero a sarracenis et tartaris rase dicitur specialiter mesopotamia appellatur et hec est siria prima
32,29,0.624102358091948,secunda est syria celes que incipit a flumine eufrate et terminatur in riuo ualanie qui fluit sub castro margad et cadit in mare magnum in uilla ualanie in qua est sedes episcopalis per 1 leucam a predicto castro distante,secunda est siria celes que incipit a fluuio eufrate et terminatur in fluuio ualame qui fluit sub castro margath et cadit in mare magnum in uilla ualanie que est sedes episcopalis metropolitanum habens archiepiscopum appanensem distans per 1 leucam a castro supradicto
33,30,0.3767826084670521,in hac celes syria est ciuitas antyochia cum urbibus suis suffraganeis scilicet laodicia apamia et aliis multis,in hac celes siria est ciuitas antiochia cum urbibus suis suffraganeis in quibus sunt archiepiscopi eidem sedi subiecti numero 153 secundum numerum magnorum pistium quos traxit petrus in terram sicut dicitur in iohanne
34,32,0.6917912982888307,tertia est syria phenicis que incipit a predicto fluuio ualamie ab aquilone et extenditur uersus austrum usque ad petram incisam siue districtum sub monte carmelo,tercia est syria fenicis que incipit a predicto a fluuio ualame ab aquilone et extenditur uersus austrum usque ad petram incisam siue districtum sub monte carmali qui locus hodie castrum peregrinorum dicitur et est milicie templi
35,32,0.4752029689664892,qui locus hodie castrum peregrinorum dicitur et est milicie templum,tercia est syria fenicis que incipit a predicto a fluuio ualame ab aquilone et extenditur uersus austrum usque ad petram incisam siue districtum sub monte carmali qui locus hodie castrum peregrinorum dicitur et est milicie templi
36,35,0.5246707278458193,in ista sunt ciuitates multe scilicet margad anteradum tripolis bericum sydon tyrus accon et capharnaum et appellatur syria phenicis a phenice filio agenoris fratre cathmi qui tyrum instaurauit et metropolim huius terre constituit et terram suo nomine appellauit,a phenice filio agenoris fratre cachmi sic est dicta qui tyrum instaurauit et huius terre caput esse constituit et enim suo nomine appellauit
37,36,0.9999999999999998,quarta est syria damasci in qua est damascus ciuitas metropolis,quarta est syria damasci in qua est damascus ciuitas metropolis
38,37,0.7803423240241055,hec predicte tercie syrie phenicis ab oriente coniungitur,hec predicte syrie phenicis ab origente coniungitur
39,38,0.6471940612968433,dicitur tamen ista quarta syria etiam syria lybanica quia mons lybani in ea preclarus habetur,dicitur tamen ista eciam syria lybanica quia lybanus mons in ea preclarus habetur et habet ciuitates et terras plures
40,47,0.592353830648184,post istam quartam scilicet syriam phenicis sequitur palestina que philistiim proprie nuncupatur,post istam syriam damasci et syriam phenicis procedendo contra austrum occurrit palestina que philistim proprie nuncupatur
41,48,0.6637741812985393,unde nota quod tres sunt palestine que tamen omnes sunt syrie magne partes,unde nota quod 3 sunt palestine que tamen omnes sunt similiter syrie maioris partes
42,49,0.5629880950078809,prima palestina est cuius metropolis est ierusalem cum omnibus montanis suis usque ad mare mortuum et usque ad desertum et cades barne,prima palestina est cuius metropolis est iherusalem cum omnibus montanis suis usque ad iordanem et mare mortuum secundum limites omnes quos regnum iuda siue iherusalem continebat
43,52,0.7294329269070244,secunda cuius metropolis est cesarea palestine siue cesarea maritima cum tota terra philistiim incipiens a predicta petra incisa siue castro peregrinorum et se extendens usque gazam contra austrum,secunda palestina est cuius metropolis est cesarea palestine siue cesarea martania cum tota terra <palasti> philistim incipiens a predicta petra incisa siue castro peregrinorum et extendens se usque gazam et gerazam
44,54,0.524838438264792,tertia est cuius metropolis est bethsan sita sub monte gelboe iuxta iordanem,tercia est cuius metropolis est bethsan sita sub monte gelboe iuxta iordanem et continebat regnum samarie a bethel incipiens contra austrum et terminabatur iuxta stagnum ionesar iuxta betsaidam cum tota galilea
45,521,0.22334610569184513,hec quondam scitopolis dicebatur,que quondam sychen dicebatur iuxta luzam que est in tribu effraym
46,56,0.29330850508680056,ista palestina dicitur proprie galilea siue campus magnus esdrelon,sed dicitur primus regum ultimus quod uidentes filii israel qui erant trans uallem quod mortuus esset saul et filii eius reliquerunt ciuitates suas et fugierunt et uenierunt philistim et habitauerunt in ea usque in presentem diem et ob hanc causam appellata est terra illa palestina cum tamen in rei ueritate esset galilea siue campus magnus esdrelon
47,48,0.2080260279829334,sunt etiam tres <aril> arabie similiter maioris syrie partes,unde nota quod 3 sunt palestine que tamen omnes sunt similiter syrie maioris partes
48,59,0.6522638680209552,prima est cuius metropolis est bostron que nunc busereth dicitur olim tamen bosrha dicebatur,prima arabia est cuius metropolis est bostron que nunc bostroch dicitur olim tamen bozra dicebatur
49,60,0.4376427044407883,huic coniungitur traconitis regio et ythurea ab occidente damascus uero fere ab aquilone quam ob causam syria damasci aliquociens arabia uocatur,hec includit traconitidem regionem que est eius pars occidentalis et damas que est ei aquilonalis quam ob causam syria damasci aliquociens arabia uocatur unde et arocha rex arabie dicitur qui in rei ueritate fuit rex damasci
50,60,0.37407075441512666,unde aretha regio arabie dicitur qui in rei ueritate erat rex damasci,hec includit traconitidem regionem que est eius pars occidentalis et damas que est ei aquilonalis quam ob causam syria damasci aliquociens arabia uocatur unde et arocha rex arabie dicitur qui in rei ueritate fuit rex damasci
51,61,0.24385986962599265,secunda cuius metropolis est petra ciuitas olim rabach dicta deinde areopolis ipsa que in libro numeri uocatur ar in oriente arnen sita,secunda est cuius metropolis est rabach ciuitas que nunc philadelphia dicitur super torrentem arnon sita
52,62,0.23302676875830203,ista arabia erat terra filiorum amon licet ciuitas ar fuerit de moab,ista arabia erat terra filiorum amon et includebat regnum <os> og regis basan et ezebon cum tota terra seon regis ezebon que uniuersa cessit in partes duarum tribuum et dimidie transiordanem et montem galaad et bathaneam et coniungitur prime arabie ex parte australi
53,62,0.5122313986882112,item fuit de regno seon regis esebon et includebat regnum og regis basan et montem galaad et coniungitur prime arabie a parte australi,ista arabia erat terra filiorum amon et includebat regnum <os> og regis basan et ezebon cum tota terra seon regis ezebon que uniuersa cessit in partes duarum tribuum et dimidie transiordanem et montem galaad et bathaneam et coniungitur prime arabie ex parte australi
54,63,0.6189770729019914,tertia est arabia cuius metropolis est mons regalis qui nunc krach dicitur olim tamen petra deserti dicebatur sita super mare mortuum et continet sub se terram moab que proprie syria sobal dicitur et totam ydumeam siue montem seyr et totam terram circa mare mortuum usque ad cades barne et asasonthamar et aquas contradictionis uersus mare rubrum per latissimas solitudines usque ad flumen eufratem,tercia est cuius metropolis est petra ciuitas sita iuxta montem regalem qui nunc saracenite krach dicitur olim tamen petra deserti dicebatur supra mare mortuum et includit terram moab et ydumeam siue montem seyr et totam terram circa mare mortuum usque ad cades barne et usque basion gaboe et aquas contradictionis uersus mare rubrum per latissimas solitudines montis synai contra occidentem et fluuium eufraten contra orientem
55,64,0.6280125071808699,hec est arabia magna in qua est melcha ciuitas sepultura detestabilis machumeti,hec est arabia magna in qua est mecha ciuitas locus sepulcri detestabilis machmeti
56,66,0.5224727532537401,hucusque de situ terrarum terre sancte adiacentium dicta sufficient,hucusque de situ terrarum terre sancte adiacentium dicta sufficiant que pro parte de dictis uenerabilis patris domini iacobi de uitriaco licet ego oculis meis fere omnia uiderim finit excerpta
57,66,0.4427644739036897,que pro maiori parte de dictis uenerabilis patris domini iacobi de uitriaco sancte romane ecclesie legati in terra sancta quamquam ego oculis meis plurima de hiis uiderim sunt assumpta,hucusque de situ terrarum terre sancte adiacentium dicta sufficiant que pro parte de dictis uenerabilis patris domini iacobi de uitriaco licet ego oculis meis fere omnia uiderim finit excerpta
58,67,0.45597269148456476,ceterum ad particularem descriptionem ipsius terre que in possessionem decem tribuum cessit stilum uertamus,ceterum ad particularem rem descriptionem ipsius terre que in sortem 12 tribuum cecidit stilum uertamus occidentalem eius terminum ponentes mare magnum et per litus ipsius maris procedentes uersus sydonem usque bericum quem locum licet filii israel non possederunt tamen in distributione tribuum usque ad sydonem magnam fuit pars illa tribui asser assignata
59,0,0.18203281339923066,prima diuisio terre sancte sciendum igitur primo sicut supra dictum est quod terram sanctam in 4 partes diuisi,incipit descripcio terre sancte
60,582,0.12845249064733702,que partes respondent 4 plagis celi scilicet orienti occidenti meridiei et septentrioni licet pars tota occidentalis respiciat mare magnum et austri et aquilonis similiter partes ille que sunt collaterales occidenti,ab ista ualle siue uoragine bono interuallo a turre dauid contra occidentem erat procedens alia uorago habens a parte occidentis altam rupem similiter eminentem super quam murus ciuitatis erat edificatus que cingebat ciuitatem a parte occidentis
61,308,0.1463585960197026,et incipiam primo a directa linea que est a ciuitate acconensi que antiquitus ptolomayda dicebatur uersus aquilonem procedendo per ciuitates et loca que sunt in litore magni maris sita,ultra uero uersus <uero> austrum procedendo est situm idem usque ad finem iordanis et inde per totam longitudinem maris mortui usque ad montem regalem qui antiquitus petra deserti dicebatur
62,68,0.4035286268727468,primum igitur descriptionis initium sumitur a ciuitate acconensi per directam lineam procedendo uersus tyrum et inde ad alias ciuitates sequentes de quibus suo loco dicetur,de diuisione quarte septentrionalis primum igitur descriptionis inicium sumitur a quarta septentrionali que per rectam lineam protenditur ab achon usque ad tyrum et non alias ciuitates que secuntur de quibus loco suo dicetur
63,69,0.6323321206269078,sciendum tamen quod ciuitas accon numquam fuit de terra sancta nec a filiis israel possessa licet in ditributione terre tribui asser fuerit assignata quia asserite numquam possiderunt eam,primum igitur sciendum quod ciuitas achonensis nunquam fuit terra sancta nec a filiis israel possessa licet in distributione terre tribui asser fuerit assignata quia tribus illa nunquam possedit eam
64,70,0.663826055886254,est autem in prouintia phenicis sita habens ab austro carmelum montem ad 4 leucas et ciuitatem caypham ad pedem montis eiusdem ultra torrentem cyson ubi helyas propheta sacerdotes baal interfecit,est autem in prouincia phenicea sita habens ab austro carmelum montem ad 4 leucas et ciuitatem cayphan ad pedes montis eiusdem ultra torrentem cyson ubi helias sacerdotes baal occidit sicut dicitur in libro regis
65,71,0.3340301879792326,phenicia uero regio siue syria phenicis adhuc extenditur ultra contra austrum ad 3 leucas usque ad petram incysam que castrum peregrinorum dicitur,de phenicea regione phenicea uero regio adhuc ultra extenditur contra austrum ad 3 leucas iuxta castrum peregrinorum quod dicitur petra incisa qui locus est limes eius et ubi incipit palestina et dyocesis palestine et terminatur diocesis tyronensis que est metropolis phenicis contra aquilonem
66,71,0.2732721618752231,qui locus terminus est phenicis contra austrum,de phenicea regione phenicea uero regio adhuc ultra extenditur contra austrum ad 3 leucas iuxta castrum peregrinorum quod dicitur petra incisa qui locus est limes eius et ubi incipit palestina et dyocesis palestine et terminatur diocesis tyronensis que est metropolis phenicis contra aquilonem
67,77,0.5291119103619869,accon autem ciuitas munitam ualde muris antemuralibus turribus et fossatis et barbicanis fortissimis triangulam habens formam ut clypeus cuius due partes cinguntur mari magno tertia pars campum respicit qui ipsam circumdat habens leucas 2 latitudinis et plus in partibus aliquibus uel etiam minus fertilis ualde tam in agris quam in pascuis et uineis et ortis in quibus diuersi generis fructus crescunt,tercia uero pars campum respicit qui ipsam circumdat habens 3 leucis latitudinis et plus in aliquibus partibus fertilis tam in agris quam in pratis et in ortis in quibus diuersi generis fructus crescunt
68,78,0.39786407362743054,est etiam munita multa militia hospitalis templi et domus teutonice et castris eorum et arcis ciuitatis que ad regem pertinent habens portum bonum et capacem ab austro ciuitatis pro nauibus collocandis,est autem munita ualde milicia et castris fortissimis scilicet hospitalis templi et artis ciuitatis que ad regem pertinent
69,79,0.22137209790186888,inde contra aquilonem ad 4 leucas est casale lamperti iuxta mare uineis similiter et yardinis et aquis fluuialibus habundans sub monte saron constitutum,de casale de achon procedendo directe contra aquilonem ad 4 leucas est casale lamberti inde ad 3 leucas est castrum scandalion ultra montem quem allexander obsidens tyrum dicitur edificasse satis amenum fontibus et flumibus et ortis et oliuetis et pingui gleba in littore maris situm
70,79,0.23262122275458819,inde transacto monte saron ad 4 leucas est castrum sandalion quod alexander obsidens tyrum dicitur construxisse sed baldwinus rex ierusalem illud denuo instaurauit et quibusdam nobilibus qui inde cognominantur tradidit possidendum,de casale de achon procedendo directe contra aquilonem ad 4 leucas est casale lamberti inde ad 3 leucas est castrum scandalion ultra montem quem allexander obsidens tyrum dicitur edificasse satis amenum fontibus et flumibus et ortis et oliuetis et pingui gleba in littore maris situm
71,74,0.21808842462470734,habundat autem pratis pascuis ficetis oliuetis uineis fluminibus et iardinis,est autem prima eius ciuitas cayphas sicud dictum est sub camelo constituta habundans ficetis et oliuetis et aliis commoditatibus multis
72,80,0.5328247994620642,inde modico amplius quam per leucam est puteus ille admirabilis aquarum uiuentium iuxta uiam euntibus tyrum quantum iacere potest arcus,puteus aquarum uiuentium inde ad 3 leucas iuxta uiam ad dextram quantum arcus potest est puteus ille admirabilis aquarum uiuencium de quo dicitur in canticis
73,128,0.2737730642183662,cuius aque sicut dicitur in canticis fluunt impetu de lybano,libanus distat a ciuitate ista ad 3 leucas ad cuius pedem oritur fons ortorum fluens inpetu de lybano sicud dicitur canticis
74,81,0.7479676226834266,quamuis autem singulariter dicatur puteus sunt tamen 4 eiusdem dispositionis sed disparis quantitatis,quamuis autem singulariter dicatur puteus sunt tamen 4 eiusdem structure et dispositionis non tamen eiusdem quantitatis
