,original,processed
10,secunda est syria celes que incipit a flumine eufrate et terminatur in rivo valanie qui fluit sub castro margad et cadit in mare magnum in villa valanie in qua est sedes episcopalis per leucam a predicto castro distante in hac celes syria est civitas antyochia cum urbibus suis suffraganeis scilicet laodicia apamia et aliis multis,secunda est siria celes que incipit a flumine eufrate et terminatur in riuo ualanie qui fluit sub castro margad et cadit in mare magnum in uila ualanie in qua est sedes episcopalis per leucam a predicto castro distante in hac celes siria est ciuitas antiocia cum urbibus suis sufraganeis scilicet laoditia apamia et aliis multis
11,tertia est syria phenicis que incipit a predicto fluvio valamie ab aquilone et extenditur versus austrum usque ad petram incisam sive districtum sub monte carmelo qui locus hodie castrum peregrinorum dicitur et est milicie templum in ista sunt civitates multe scilicet margad anteradum tripolis bericum sydon tyrus accon et capharnaum et appellatur syria phenicis a phenice filio agenoris fratre cathmi qui tyrum instauravit et metropolim huius terre constituit et terram suo nomine appellavit,tertia est siria penicis que incipit a predicto fluuio ualamie ab aquilone et extenditur uersus austrum usque ad petram incisam siue districtum sub monte carmelo qui locus hodie castrum peregrinorum dicitur et est milicie templum in ista sunt ciuitates multe scilicet margad anteradum tripolis bericum sidon tirus accon et caparnaum et appelatur siria penicis a penice filio agenoris fratre catmi qui tirum instaurauit et metropolim huius terre constituit et terram suo nomine appelauit
12,quarta est syria damasci in qua est damascus civitas metropolis hec predicte tercie syrie phenicis ab oriente coniungitur dicitur tamen ista quarta syria etiam syria lybanica quia mons lybani in ea preclarus habetur,quarta est siria damasci in qua est damascus ciuitas metropolis hec predicte tercie sirie penicis ab oriente coniungitur dicitur tamen ista quarta siria etiam siria libanica quia mons libani in ea preclarus habetur
13,post istam quartam scilicet syriam phenicis sequitur palestina que philistiim proprie nuncupatur unde nota quod tres sunt palestine que tamen omnes sunt syrie magne partes prima palestina est cuius metropolis est ierusalem cum omnibus montanis suis usque ad mare mortuum et usque ad desertum et cades barne,post istam quartam scilicet siriam penicis sequitur palestina que pilistiim proprie nuncupatur unde nota quod tres sunt palestine que tamen omnes sunt sirie magne partes prima palestina est cuius metropolis est ierusalem cum omnibus montanis suis usque ad mare mortuum et usque ad desertum et cades barne
14,secunda cuius metropolis est cesarea palestine sive cesarea maritima cum tota terra philistiim incipiens a predicta petra incisa sive castro peregrinorum et se extendens usque gazam contra austrum,secunda cuius metropolis est cesarea palestine siue cesarea maritima cum tota terra pilistiim incipiens a predicta petra incisa siue castro peregrinorum et se extendens usque gasam contra austrum
15,tertia est cuius metropolis est bethsan sita sub monte gelboe iuxta iordanem hec quondam scitopolis dicebatur ista palestina dicitur proprie galilea sive campus magnus esdrelon,tertia est cuius metropolis est betsan sita sub monte gelboe iuxta iordanem hec quondam scitopolis dicebatur ista palestina dicitur proprie galilea siue campus magnus esdrelon
16,sunt etiam tres aril arabie similiter maioris syrie partes prima est cuius metropolis est bostron que nunc busereth dicitur olim tamen bosrha dicebatur huic coniungitur traconitis regio et ythurea ab occidente damascus vero fere ab aquilone quam ob causam syria damasci aliquociens arabia vocatur unde aretha regio arabie dicitur qui in rei veritate erat rex damasci,sunt etiam tres aril arabie similiter maioris sirie partes prima est cuius metropolis est bostron que nunc buseret dicitur olim tamen bosrha dicebatur huic coniungitur traconitis regio et iturea ab occidente damascus uero fere ab aquilone quam ob causam siria damasci aliquociens arabia uocatur unde areta regio arabie dicitur qui in rei ueritate erat rex damasci
17,secunda cuius metropolis est petra civitas olim rabach dicta deinde areopolis ipsa que in libro numeri vocatur ar in oriente arnen sita ista arabia erat terra filiorum amon licet civitas ar fuerit de moab item fuit de regno seon regis esebon et includebat regnum og regis basan et montem galaad et coniungitur prime arabie a parte australi,secunda cuius metropolis est petra ciuitas olim rabac dicta deinde areopolis ipsa que in libro numeri uocatur ar in oriente arnen sita ista arabia erat terra filiorum amon licet ciuitas ar fuerit de moab item fuit de regno seon regis esebon et includebat regnum og regis basan et montem galaad et coniungitur prime arabie a parte australi
18,tertia est arabia cuius metropolis est mons regalis qui nunc krach dicitur olim tamen petra deserti dicebatur sita super mare mortuum et continet sub se terram moab que proprie syria sobal dicitur et totam ydumeam sive montem seyr et totam terram circa mare mortuum usque ad cades barne et asasonthamar et aquas contradictionis versus mare rubrum per latissimas solitudines usque ad flumen eufratem hec est arabia magna in qua est melcha civitas sepultura detestabilis machumeti,tertia est arabia cuius metropolis est mons regalis qui nunc krac dicitur olim tamen petra deserti dicebatur sita super mare mortuum et continet sub se terram moab que proprie siria sobal dicitur et totam idumeam siue montem seir et totam terram circa mare mortuum usque ad cades barne et asasontamar et aquas contradictionis uersus mare rubrum per latissimas solitudines usque ad flumen eufratem hec est arabia magna in qua est melca ciuitas sepultura detestabilis macumeti
19,hucusque de situ terrarum terre sancte adiacentium dicta sufficient que pro maiori parte de dictis venerabilis patris domini jacobi de vitriaco sancte romane ecclesie legati in terra sancta quamquam ego oculis meis plurima de hiis viderim sunt assumpta ceterum ad particularem descriptionem ipsius terre que in possessionem decem tribuum cessit stilum vertamus,hucusque de situ terrarum terre sancte adiacencium dicta suficient que pro maiori parte de dictis uenerabilis patris domini iacobi de uitriaco sancte romane ecclesie legati in terra sancta quamquam ego oculis meis plurima de hiis uiderim sunt assumpta ceterum ad particularem descriptionem ipsius terre que in possessionem decem tribuum cessit stilum uertamus
20,prima divisio terre sancte sciendum igitur primo sicut supra dictum est quod terram sanctam in partes divisi que partes respondent plagis celi scilicet orienti occidenti meridiei et septentrioni licet pars tota occidentalis respiciat mare magnum et austri et aquilonis similiter partes ille que sunt collaterales occidenti et incipiam primo a directa linea que est a civitate acconensi que antiquitus ptolomayda dicebatur versus aquilonem procedendo per civitates et loca que sunt in litore magni maris sita,prima diuisio terre sancte sciendum igitur primo sicut supra dictum est quod terram sanctam in partes diuisi que partes respondent plagis celi scilicet orienti occidenti meridiei et septentrioni licet pars tota occidentalis respitiat mare magnum et austri et aquilonis similiter partes ile que sunt colaterales occidenti et incipiam primo a directa linea que est a ciuitate acconensi que antiquitus ptolomaida dicebatur uersus aquilonem procedendo per ciuitates et loca que sunt in litore magni maris sita
21,primum igitur descriptionis initium sumitur a civitate acconensi per directam lineam procedendo versus tyrum et inde ad alias civitates sequentes de quibus suo loco dicetur sciendum tamen quod civitas accon numquam fuit de terra sancta nec a filiis israel possessa licet in ditributione terre tribui asser fuerit assignata quia asserite numquam possiderunt eam est autem in provintia phenicis sita habens ab austro carmelum montem ad leucas et civitatem caypham ad pedem montis eiusdem ultra torrentem cyson ubi helyas propheta sacerdotes baal interfecit,primum igitur descriptionis inicium sumitur a ciuitate acconensi per directam lineam procedendo uersus tirum et inde ad alias ciuitates sequentes de quibus suo loco dicetur sciendum tamen quod ciuitas accon numquam fuit de terra sancta nec a filiis isrel possessa licet in ditributione terre tribui asser fuerit assignata quia asserite numquam possiderunt eam est autem in prouintia penicis sita habens ab austro carmelum montem ad leucas et ciuitatem caipam ad pedem montis eiusdem ultra torrentem cison ubi helias propeta sacerdotes baal interfecit
22,phenicia vero regio sive syria phenicis adhuc extenditur ultra contra austrum ad leucas usque ad petram incysam que castrum peregrinorum dicitur qui locus terminus est phenicis contra austrum,penitia uero regio siue siria penicis adhuc extenditur ultra contra austrum ad leucas usque ad petram incisam que castrum peregrinorum dicitur qui locus terminus est penicis contra austrum
23,accon autem civitas munitam valde muris antemuralibus turribus et fossatis et barbicanis fortissimis triangulam habens formam ut clypeus cuius due partes cinguntur mari magno tertia pars campum respicit qui ipsam circumdat habens leucas latitudinis et plus in partibus aliquibus vel etiam minus fertilis valde tam in agris quam in pascuis et vineis et ortis in quibus diversi generis fructus crescunt est etiam munita multa militia hospitalis templi et domus teutonice et castris eorum et arcis civitatis que ad regem pertinent habens portum bonum et capacem ab austro civitatis pro navibus collocandis,accon autem ciuitas munitam ualde muris antemuralibus turribus et fossatis et barbicanis fortissimis triangulam habens formam ut clipeus cuius due partes cinguntur mari magno tertia pars campum respicit qui ipsam circumdat habens leucas latitudinis et plus in partibus aliquibus aut etiam minus fertilis ualde tam in agris quam in pascuis et uineis et ortis in quibus diuersi generis fructus crescunt est etiam munita multa militia hospitalis templi et domus teutonice et castris eorum et arcis ciuitatis que ad regem pertinent habens portum bonum et capacem ab austro ciuitatis pro nauibus colocandis
24,inde contra aquilonem ad leucas est casale lamperti iuxta mare vineis similiter et yardinis et aquis fluvialibus habundans sub monte saron constitutum inde transacto monte saron ad leucas est castrum sandalion quod alexander obsidens tyrum dicitur construxisse sed baldwinus rex ierusalem illud denuo instauravit et quibusdam nobilibus qui inde cognominantur tradidit possidendum habundat autem pratis pascuis ficetis olivetis vineis fluminibus et iardinis,inde contra aquilonem ad leucas est casale lamperti iuxta mare uineis similiter et iardinis et aquis fluuialibus habundans sub monte saron constitutum inde transacto monte saron ad leucas est castrum sandalion quod alexander obsidens tirum dicitur construxisse sed baldwinus rex ierusalem ilud denuo instaurauit et quibusdam nobilibus qui inde cognominantur tradidit possidendum habundat autem pratis pascuis ficetis oliuetis uineis fluminibus et iardinis
25,inde modico amplius quam per leucam est puteus ille admirabilis aquarum viventium iuxta viam euntibus tyrum quantum iacere potest arcus cuius aque sicut dicitur in canticis fluunt impetu de lybano quamvis autem singulariter dicatur puteus sunt tamen eiusdem dispositionis sed disparis quantitatis unus enim qui precipuus est habet cubitos longitudinis et latitudinis ut ego per me mensuravi et est quadratus et alii tres circa omnes muris fortissimis de lapidibus durissimis de opere insolubili ad altitudinem haste vel amplius circumdati in quibus ita colligitur aqua et exaltatur quod ad omnem partem aqua defluit ultra muros sunt tamen nichilominus inde aqueductus facti per rivos inde descendentes tante profunditatis et latitudinis quanta est statura unius hominis quod per memetipsum expertus sum mittens in canalem per quem fluit aqua deducuntur autem iste aque per totam planiciem tyri et rigantur inde iardini orti vinee calamelle que in magna quantitate crescunt ibidem de quibus dominus tyri recipit reditus valde magnos distant autem fontes isti a mari magno modico amplius quam iacere possit arcus et in isto modico spacio impellunt rotas molendini satis magnas et statim in mari absorbentur fonti isti ad litteram videtur convenire illud ecclesia rigabo ortum plantationum et inebriabo partus mei fructum et ecce factus est mihi trames habundans et fluvius meus appropinquavit ad mare multas commoditates conferunt incolis iste aque,inde modico amplius quam per leucam est puteus ile admirabilis aquarum uiuencium iuxta uiam euntibus tirum quantum iacere potest arcus cuius aque sicut dicitur in canticis fluunt impetu de libano quamuis autem singulariter dicatur puteus sunt tamen eiusdem dispositionis sed disparis quantitatis unus enim qui precipuus est habet cubitos longitudinis et latitudinis ut ego per me mensuraui et est quadratus et alii tres circa omnes muris fortissimis de lapidibus durissimis de opere insolubili ad altitudinem haste aut amplius circumdati in quibus ita coligitur aqua et exaltatur quod ad omnem partem aqua defluit ultra muros sunt tamen nicilominus inde aqueductus facti per riuos inde descendentes tante profunditatis et latitudinis quanta est statura unius hominis quod per memetipsum expertus sum mitens in canalem per quem fluit aqua deducuntur autem iste aque per totam planiciem tiri et rigantur inde iardini orti uinee calamele que in magna quantitate crescunt ibidem de quibus dominus tiri recipit reditus ualde magnos distant autem fontes isti a mari magno modico amplius quam iacere possit arcus et in isto modico spatio impelunt rotas molendini satis magnas et statim in mari absorbentur fonti isti ad literam uidetur conuenire ilud ecclesia rigabo ortum plantationum et inebriabo partus mei fructum et ecce factus est mii trames habundans et fluuius meus appropinquauit ad mare multas comoditates conferunt incolis iste aque
26,de isto fonte minus quam leuca est civitas tyrus in litore maris sita de cuius preconio satis dicitur in ezechiele ysaia ieremia et ceteris sacre scripture libris habuit autem de dicto puteo aquarum viventium venam unam per tracones et pyramides mirabiles quarum vestigia et ruine adhuc videntur illuc ductam que omnia circuivi et oculis meis vidi civitas tyrus dicitur a tyras filio iaphet constructa post diluvium sed a phenice ut dictum est supra instaurata metropolis phenice est effecta magnum habet murorum ambitum et meo iudicio maior est civitate acconensi formam habens rotundam sita in corde maris in rupe durissima et undique mari circumdata nisi in fronte civitatis contra orientem ubi eam primo nabugodonosor et postea alexander fecerunt contiguam terre quantum est iactus lapidis ubi circumcincta est quadruplici muro et forti et alto et ad pedes spisso qui etiam muri muniti sunt turribus fortissimis quibus in omnibus mundi partibus me vidisse non recolo meliores hiis etiam turribus continuatur arx civitatis sive castrum munitissimum et in rupe in corde maris situm munitum turribus et palaciis fortissimis que expugnare non deberet merito totus mundus,de isto fonte minus quam leuca est ciuitas tirus in litore maris sita de cuius preconio satis dicitur in eseciele isaia ieremia et ceteris sacre scripture libris habuit autem de dicto puteo aquarum uiuencium uenam unam per tracones et piramides mirabiles quarum uestigia et ruine adhuc uidentur iluc ductam que omnia circuiui et oculis meis uidi ciuitas tirus dicitur a tiras filio iapet constructa post diluuium sed a penice ut dictum est supra instaurata metropolis penice est efecta magnum habet murorum ambitum et meo iuditio maior est ciuitate acconensi formam habens rotundam sita in corde maris in rupe durissima et undique mari circumdata nisi in fronte ciuitatis contra orientem ubi eam primo nabugodonosor et postea alexander fecerunt contiguam terre quantum est iactus lapidis ubi circumcincta est quadruplici muro et forti et alto et ad pedes spisso qui etiam muri muniti sunt turribus fortissimis quibus in omnibus mundi partibus me uidisse non recolo meliores hiis etiam turribus continuatur arx ciuitatis siue castrum munitissimum et in rupe in corde maris situm munitum turribus et palaciis fortissimis que expugnare non deberet merito totus mundus
27,multe sunt in civitate ista reliquie sicut colligitur ex hystoria ecclesiastica de martiribus sub dyocletiano ibi passis quorum numerus est soli deo notus origenes ibidem in ecclesia sancti sepulchri requiescit in muro conclusus cuius tytulum ibidem vidi sunt ibi columpne marmoree et aliorum lapidum tam magne quod stupor est videre sedes archiepiscopalis est in civitate ista et est metropolis phenicie habens suffraganeos beritensem sydoniensem et acconensem episcopos et extenditur ista metropolis usque ad petram incisam ut dictum est sive castrum peregrinorum decem diebus fui in ea et pluribus vicibus aliis et consideravi eam quantum potui diligenter,multe sunt in ciuitate ista reliquie sicut coligitur ex historia ecclesiastica de martiribus sub diocletiano ibi passis quorum numerus est soli deo notus origenes ibidem in ecclesia sancti sepulcri requiescit in muro conclusus cuius titulum ibidem uidi sunt ibi columpne marmoree et aliorum lapidum tam magne quod stupor est uidere sedes arciepiscopalis est in ciuitate ista et est metropolis penicie habens sufraganeos beritensem sidoniensem et acconensem episcopos et extenditur ista metropolis usque ad petram incisam ut dictum est siue castrum peregrinorum decem diebus fui in ea et pluribus uicibus aliis et consideraui eam quantum potui diligenter
28,ante portam eius orientalem ad iactum duarum sagittarum inter harenas ostenditur locus predicationis ihesu christi ubi extulit vocem mulier de turba dicens beatus venter qui te portavit et ubera que succisti et lapis magnus in quo tunc stabat ihesus christus qui locus numquam harena operitur cum tamen harena illa levis sit et volatilis sicut in partibus occidentis et aquilonis vix volare consuevit tempore hyemis et tumulos facere circa sepes et loca similia impulsu venti iste enim locus in medio arenarum semper viridis permanet et estate et hyeme quod est in illa terra valde rarum et maxime estate quia tunc sol omnia gramina comburit et exsiccat est tamen locus modicus ibidem magis viridis reliquo campo et herbosus ubi dicitur mulier illa stetisse que extulit vocem de turba anno tamen domini dominus tyri edificavit capellam in eodem loco et posuit lapidem illum retro altare super columpnam quandam marmoream multum honeste et fuit dedicata ipsa capella in dominica oculi mei semper et ego ante ramos palmarum in eodem loco pluries dixi missam presente regina iherusalem et domino tyri et archiepiscopo cum multis aliis,ante portam eius orientalem ad iactum duarum sagitarum inter harenas ostenditur locus predicationis iesu cristi ubi extulit uocem mulier de turba dicens beatus uenter qui te portauit et ubera que succisti et lapis magnus in quo tunc stabat iesus cristus qui locus numquam harena operitur cum tamen harena ila leuis sit et uolatilis sicut in partibus occidentis et aquilonis uix uolare consueuit tempore hiemis et tumulos facere circa sepes et loca similia impulsu uenti iste enim locus in medio arenarum semper uiridis permanet et estate et hieme quod est in ila terra ualde rarum et maxime estate quia tunc sol omnia gramina comburit et exsiccat est tamen locus modicus ibidem magis uiridis reliquo campo et herbosus ubi dicitur mulier ila stetisse que extulit uocem de turba anno tamen domini dominus tiri edificauit capelam in eodem loco et posuit lapidem ilum retro altare super columpnam quandam marmoream multum honeste et fuit dedicata ipsa capela in dominica oculi mei semper et ego ante ramos palmarum in eodem loco pluries dixi missam presente regina ierusalem et domino tiri et arciepiscopo cum multis aliis
